"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Outpit07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","1级法宝-龙鳞","佩带后可使龙卷雨击目标加一","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80500","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"2","1级法宝-迷魂灯","佩带后增加10%的血量","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80501","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"3","1级法宝-定风珠","佩带后增加10%的速度","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80502","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"4","1级法宝-雷兽","佩带后可使天雷斩目标加一","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80503","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"5","1级法宝-慈悲","佩带后可使回血目标加一并提高回复血量","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80504","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"6","1级法宝-附灵玉","佩带后增加10%的灵力","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80505","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"7","1级法宝-干将","佩带后增加10%的攻击","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80506","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"8","1级法宝-金甲仙衣","佩带后增加10%的防御","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80507","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"9","1级法宝-赤焰","佩带后可使飞沙走石目标加一","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80508","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
"10","1级法宝-九幽","佩带后可使尸腐毒目标加一","右键点击装备","0","0","0","110","0","1","80700","1","1","80701","10","1","80702","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80509","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","3","0","3","1000000","0","0","0","0","0","0"
