"Title_id","Title_Type","Title_Name","Title_Color","Title_PreNameType","Title_RankType","Title_RankSubType","Title_StartRank","Title_EndRank","Title_TimeLimitType","Title_TimeLimit","Title_ExpireDate"
"1","0","六扇门弟子","0","0","0","0","0","0","0","0","0"
"2","0","十二连环坞弟子","0","0","0","0","0","0","0","0","0"
"3","0","圣坛弟子","0","0","0","0","0","0","0","0","0"
"4","0","银钩雪坊弟子","0","0","0","0","0","0","0","0","0"
"5","0","唐门弟子","0","0","0","0","0","0","0","0","0"
"6","0","万福万寿园弟子","0","0","0","0","0","0","0","0","0"
"7","0","青衣楼弟子","0","0","0","0","0","0","0","0","0"
"8","0","鬼域弟子","0","0","0","0","0","0","0","0","0"
"9","0","十二连环坞首席弟子","4","0","0","0","0","0","1","6","0"
"10","0","银钩雪坊首席弟子","4","0","0","0","0","0","1","6","0"
"11","0","万福万寿园首席弟子","4","0","0","0","0","0","1","6","0"
"12","0","唐门首席弟子","4","0","0","0","0","0","1","6","0"
"13","0","圣坛首席弟子","4","0","0","0","0","0","1","6","0"
"14","0","青衣楼首席弟子","4","0","0","0","0","0","1","6","0"
"15","2","武林十大高手","2","0","0","0","2","10","0","0","0"
"16","2","江湖十大富豪","2","0","1","0","2","10","0","0","0"
"17","2","六扇门十大高手","2","0","5","1","2","10","0","0","0"
"18","2","十二连环坞十大高手","2","0","5","2","2","10","0","0","0"
"19","2","圣坛十大高手","2","0","5","3","2","10","0","0","0"
"20","2","银钩雪坊十大高手","2","0","5","4","2","10","0","0","0"
"21","2","唐门十大高手","2","0","5","5","2","10","0","0","0"
"22","2","万福万寿园十大高手","2","0","5","6","2","10","0","0","0"
"23","2","青衣楼十大高手","2","0","5","7","2","10","0","0","0"
"24","2","鬼域十大高手","2","0","5","8","2","10","0","0","0"
"25","2","玉郎君十大高手","2","0","2","1","2","10","0","0","0"
"26","2","金铃儿十大高手","2","0","2","2","2","10","0","0","0"
"27","2","鬼灵精十大高手","2","0","2","3","2","10","0","0","0"
"28","2","小仙女十大高手","2","0","2","4","2","10","0","0","0"
"29","2","妙郎中十大高手","2","0","2","5","2","10","0","0","0"
"30","2","红袖女十大高手","2","0","2","6","2","10","0","0","0"
"31","2","疾风狼十大高手","2","0","2","7","2","10","0","0","0"
"32","2","飞天舞十大高手","2","0","2","8","2","10","0","0","0"
"33","2","武林十大名人","2","0","3","0","2","10","0","0","0"
"34","2","武林十大恶人","2","0","4","0","2","10","0","0","0"
"35","0","酒坊学徒","0","0","0","0","0","0","0","0","0"
"36","0","初级酿酒师","0","0","0","0","0","0","0","0","0"
"37","0","中级酿酒师","1","0","0","0","0","0","0","0","0"
"38","0","高级酿酒师","1","0","0","0","0","0","0","0","0"
"39","0","酿酒宗师","2","0","0","0","0","0","0","0","0"
"40","0","伙房小役","0","0","0","0","0","0","0","0","0"
"41","0","初级厨师","0","0","0","0","0","0","0","0","0"
"42","0","中级厨师","1","0","0","0","0","0","0","0","0"
"43","0","高级厨师","1","0","0","0","0","0","0","0","0"
"44","0","顶级厨神","2","0","0","0","0","0","0","0","0"
"45","0","药房学徒","0","0","0","0","0","0","0","0","0"
"46","0","初级药师","0","0","0","0","0","0","0","0","0"
"47","0","中级药师","1","0","0","0","0","0","0","0","0"
"48","0","高级药师","1","0","0","0","0","0","0","0","0"
"49","0","资深药师","2","0","0","0","0","0","0","0","0"
"50","0","六扇门首席弟子","4","0","0","0","0","0","1","6","0"
"51","0","鬼域首席弟子","4","0","0","0","0","0","1","6","0"
"57","0","疯狂杀手","3","0","0","0","0","0","0","0","0"
"58","0","杀千刀∝╬▅▆▇◤","4","0","0","0","0","0","0","0","0"
"59","0","求包养，会暖床，身材娇小爆乳娘","3","0","0","0","0","0","0","0","0"
"60","0","求包养，会捆绑，身形矫健气质郎","3","0","0","0","0","0","0","0","0"
"61","0","★RMB战士★","4","0","0","0","0","0","0","0","0"
"62","0","扑蛾狂人","3","0","0","0","0","0","0","0","0"
"63","0","韭菜爱好者","2","0","0","0","0","0","0","0","0"
"64","3","·帮主","2","4","0","0","1","1","0","0","0"
"65","3","·副帮主","1","4","0","0","2","2","0","0","0"
"66","3","·左护法","1","4","0","0","3","3","0","0","0"
"67","3","·右护法","1","4","0","0","4","4","0","0","0"
"68","3","·长老","1","4","0","0","5","5","0","0","0"
"69","3","·堂主","1","4","0","0","6","6","0","0","0"
"70","3","·精英","1","4","0","0","7","7","0","0","0"
"71","3","·香主","1","4","0","0","8","8","0","0","0"
"72","3","·商人","1","4","0","0","9","9","0","0","0"
"73","3","·帮众","0","4","0","0","10","10","0","0","0"
"100","2","武林第一高手","4","0","0","0","1","1","0","0","0"
"101","2","江湖第一富豪","4","0","1","0","1","1","0","0","0"
"102","2","江湖第一名人","4","0","3","0","1","1","0","0","0"
"103","2","武林第一恶人","4","0","4","0","1","1","0","0","0"
"104","2","鬼域第一高手","3","0","5","8","1","1","0","0","0"
"105","2","十二连环坞第一高手","3","0","5","2","1","1","0","0","0"
"106","2","圣坛第一高手","3","0","5","3","1","1","0","0","0"
"107","2","银钩雪坊第一高手","3","0","5","4","1","1","0","0","0"
"108","2","六扇门第一高手","3","0","5","1","1","1","0","0","0"
"109","2","唐门第一高手","3","0","5","5","1","1","0","0","0"
"110","2","万福万寿园第一高手","3","0","5","6","1","1","0","0","0"
"111","2","青衣楼第一高手","3","0","5","7","1","1","0","0","0"
"112","2","飞天舞第一高手","3","0","2","8","1","1","0","0","0"
"113","2","疾风狼第一高手","3","0","2","7","1","1","0","0","0"
"114","2","红袖女第一高手","3","0","2","6","1","1","0","0","0"
"115","2","妙郎中第一高手","3","0","2","5","1","1","0","0","0"
"116","2","小仙女第一高手","3","0","2","4","1","1","0","0","0"
"117","2","鬼精灵第一高手","3","0","2","3","1","1","0","0","0"
"118","2","玉郎君第一高手","3","0","2","1","1","1","0","0","0"
"119","2","金铃儿第一高手","3","0","2","2","1","1","0","0","0"
"200","0","牛刀小试","0","0","0","0","0","0","0","0","0"
"201","0","小有所成","0","0","0","0","0","0","0","0","0"
"202","0","锋芒毕现","1","0","0","0","0","0","0","0","0"
"203","0","名动一方","1","0","0","0","0","0","0","0","0"
