"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Outpit07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","1级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：1/5。","0","0","0","31","0","1","54000","1","1","54300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54001","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"2","1级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：2/5。","0","0","0","31","0","1","54001","1","1","54300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54002","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"3","1级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：3/5。","0","0","0","31","0","1","54002","1","1","54300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54003","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"4","1级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：4/5。","0","0","0","31","0","1","54003","1","1","54300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54004","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"5","1级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：5/5。","0","0","0","31","0","1","54004","1","1","54300","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54005","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"6","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：1/10。","0","0","0","31","0","1","54050","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54051","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"7","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：2/10。","0","0","0","31","0","1","54051","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54052","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"8","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：3/10。","0","0","0","31","0","1","54052","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54053","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"9","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：4/10。","0","0","0","31","0","1","54053","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54054","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"10","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：5/10。","0","0","0","31","0","1","54054","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54055","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"11","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：6/10。","0","0","0","31","0","1","54055","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54056","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"12","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：7/10。","0","0","0","31","0","1","54056","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54057","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"13","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：8/10。","0","0","0","31","0","1","54057","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54058","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"14","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：9/10。","0","0","0","31","0","1","54058","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54059","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"15","2级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：10/10。","0","0","0","31","0","1","54059","1","1","54301","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54060","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"16","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：1/15。","0","0","0","31","0","1","54100","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54101","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"17","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：2/15。","0","0","0","31","0","1","54101","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54102","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"18","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：3/15。","0","0","0","31","0","1","54102","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54103","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"19","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：4/15。","0","0","0","31","0","1","54103","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54104","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"20","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：5/15。","0","0","0","31","0","1","54104","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54105","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"21","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：6/15。","0","0","0","31","0","1","54105","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54106","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"22","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：7/15。","0","0","0","31","0","1","54106","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54107","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"23","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：8/15。","0","0","0","31","0","1","54107","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54108","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"24","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：9/15。","0","0","0","31","0","1","54108","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54109","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
"25","3级玄铁","打造玄器所用的原材料。","玄铁当前锻造进度：10/15。","0","0","0","31","0","1","54109","1","1","54302","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54110","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","0","0","0","0","0","0","0","0"
