"Mix_ProductID","Mix_ProductName","Mix_ProductDescription","Mix_ProductFunctionDes","Mix_skillLv","Mix_LiveSkllID","Mix_LiveSkllLV","Mix_ProductType","Mix_Quality","Mix_Materials01_Switch","Mix_Materials01","Mix_NumOfMaterials01","Mix_Materials02_Switch","Mix_Materials02","Mix_NumOfMaterials02","Mix_Materials03_Switch","Mix_Materials03","Mix_NumOfMaterials03","Mix_Materials04_Switch","Mix_Materials04","Mix_NumOfMaterials04","Mix_Materials05_Switch","Mix_Materials05","Mix_NumOfMaterials05","Mix_Materials06_Switch","Mix_Materials06","Mix_NumOfMaterials06","Mix_Materials07_Switch","Mix_Materials07","Mix_NumOfMaterials07","Mix_Materials08_Switch","Mix_Materials08","Mix_NumOfMaterials08","Mix_Output01","Mix_Output01_Number","Mix_Output02","Mix_Output02_Number","Mix_Output03","Mix_Output03_Number","Mix_Output04","Mix_Output04_Number","Mix_Output05","Mix_Output05_Number","Mix_Output06_EpicWeapon01","Mix_Output06_Number","Mix_Outpit07_EpicWeapon02","Mix_Output07_Number","Mix_Addon01","Mix_Addon02","Mix_Addon03","Mix_Addon04","Mix_Addon05","Mix_Addon06","Mix_Addon07","Mix_Addon08","Mix_Addon09","Mix_Addon10","Mix_Addon_Base","Mix_ConsumeTime","Mix_LUA","Mix_ConsumeType01","Mix_ConsumeAmount01","Mix_ConsumeType02","Mix_ConsumeAmount02","Mix_ConsumeType03","Mix_ConsumeAmount03","Mix_ConsumeType04","Mix_ConsumeAmount04"
"1","天龙破城(150级)","此戟以天外陨石炼九日九夜，雷生地底、天坠神龙乃成，西楚霸王项羽持之横行当世，睥睨天下英雄，故名“天龙破城”。戟尖如雪，齿如残阳，霸王既殁，佚于乌江，龙衔乃出。","装备后增加攻击和命中等人物属性。","150","0","0","100","0","1","20084","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95180","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"2","浩气长舒(150级)","持之若登高望远，五湖四海俱在眼前。则不以物喜，不以己悲，心旷神怡，宠辱偕忘。有感浩然之气至大至刚，以直养而无害，充盈于天地之间。不亦快哉！不亦快哉！","装备后增加攻击和命中等人物属性。","150","0","0","100","0","1","20100","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95181","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"3","丝萝乔木(150级)","乃上古一对仙侣所化，丝萝出尘，花分五色；中为桐木，曾栖彩凤。千秋万载，其情不泯。湛湛然仙气缠绕，百邪不侵。后人赞曰：“醉向丝萝惊自醒，与君清耳听松湍。”","装备后增加攻击和命中等人物属性。","150","0","0","101","0","1","20116","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95182","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"4","忘川三途(150级)","忘川为生死界河，以善不善业为流水，水分三途，缓急不同。此爪凝三途之水，可证罪业，望之似缓，暗流甚疾。伤者不可骤脱，如坠地狱、饿鬼、畜生道。","装备后增加攻击和命中等人物属性。","150","0","0","101","0","1","20132","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95183","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"5","碧血干戚(150级)","上古刑天与天帝争权，身首异处而壮志未陨。碧血零落、干缺戚残，后经无名氏冶于一炉，乃得神兵。长戚舞处，风云雷动，戚刃碧波流转，隐有巨盾透体而出，其鸣呜咽，如英雄泣。","装备后增加攻击和命中等人物属性。","150","0","0","102","0","1","20164","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95184","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"6","狂澜碎岳(150级)","此双锤乃水神共工掌中至宝，内收九曲黄河，出则天地齐喑，奔涛如雷。至其怒而触不周山，天柱折，地维绝，水潦尘埃俱归东南，双锤亦泯然其中，为黄帝所得。","装备后增加攻击和命中等人物属性。","150","0","0","102","0","1","20148","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95185","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"7","无关风月(150级)","精玉双环，一名“离风”，一名“遮月”，舞之月影憧憧，别愁离绪，俱上心头，思之恻然。后人亦有诗云：人生自是有情痴，此恨不关风与月。","装备后增加攻击和命中等人物属性。","150","0","0","103","0","1","20196","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95186","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"8","揽月摘星(150级)","翩若惊鸿，婉若游龙，仿佛兮若轻云之蔽月，飘飖兮若流风之回雪。三垣为画布，此带为软毫，可清夜起舞，拟为漫天星宿平添花鸟虫鱼。","装备后增加攻击和命中等人物属性。","150","0","0","103","0","1","20180","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95187","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"9","霜冷九州(150级)","通体洁白，冰晶雪魄，如淡烟璞玉，浑然天成。出则霜华满地，朔风回舞。其容清明，天高日晶；其气凛冽，砭人肌骨；其意萧条，山川寂寥。天下至寒至洁之物，惟赤子心可驭之。","装备后增加攻击和命中等人物属性。","150","0","0","104","0","1","20212","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95188","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
"10","业火三灾(150级)","周身暗红，如浴血池，刃裂三线，引为三灾，中有赤瞳，勾人心火。敌心神既失，十方俱灭，惟余红莲：“汝一念起，业火炽然，非人燔汝，乃汝自燔。","装备后增加攻击和命中等人物属性。","150","0","0","104","0","1","20228","1","1","20760","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95189","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","10","0","3","5000000","0","0","0","0","0","0"
