"MapID","X","Y"
"2","36","184"
"2","88","342"
"2","26","339"
"2","6","196"
"8","8","251"
"8","13","191"
"8","52","31"
"6","44","202"
"6","33","28"
"6","15","300"
"12","28","91"
"12","18","131"
"12","154","301"
"19","84","671"
"19","18","261"
"19","188","629"
"12","79","95"
"12","88","231"
"12","238","171"
"2","36","184"
"2","88","342"
"2","26","339"
"2","6","196"
"8","8","251"
"8","13","191"
"8","52","31"
"6","44","202"
"6","33","28"
"6","15","300"
"12","28","91"
"12","18","131"
"12","154","301"
"19","84","671"
"19","18","261"
"19","188","629"
"12","79","95"
"12","88","231"
"12","238","171"

