"MapID","X","Y"
"7","36","184"
"7","88","342"
"7","26","339"
"7","6","196"
"8","8","251"
"8","13","191"
"8","52","31"
"10","44","202"
"10","33","28"
"10","15","300"
"15","28","91"
"15","18","131"
"19","154","301"
"19","84","671"
"19","18","261"
"19","188","629"
"14","79","95"
"14","88","231"
"14","238","171"
"14","357","89"
"34","138","281"
"34","266","577"
"84","60","141"
"84","96","151"
"84","78","221"
"7","36","184"
"7","88","342"
"7","26","339"
"7","6","196"
"8","8","251"
"8","13","191"
"8","52","31"
"10","44","202"
"10","33","28"
"10","15","300"
"15","28","91"
"15","18","131"
"19","154","301"
"19","84","671"
"19","18","261"
"19","188","629"
"14","79","95"
"14","88","231"
"14","238","171"
"14","357","89"
"34","138","281"
"34","266","577"
"84","60","141"
"84","96","151"
"84","78","221"
