"MapID","X","Y"
"84","15","65"
"84","34","33"
"84","62","52"
"84","86","147"
"84","59","211"
"84","84","274"
"84","47","272"
"84","21","221"
"84","14","159"
"84","8","146"
"84","56","159"
"84","8","277"
"84","18","113"
"6","28","74"
"6","55","41"
"6","83","53"
"6","49","114"
"6","16","163"
"6","9","211"
"6","10","249"
"6","31","282"
"6","62","275"
"6","75","262"
"6","83","215"
"7","15","52"
"7","55","101"
"7","8","210"
"7","5","312"
"7","28","352"
"7","64","340"
"7","56","256"
"7","99","221"
"7","123","292"
"7","123","192"
"7","96","134"
"7","125","26"
"8","9","37"
"8","25","102"
"8","12","167"
"8","40","242"
"8","54","287"
"8","78","265"
"8","76","196"
"8","80","143"
"8","87","95"
"8","79","29"
"8","50","79"

