State,Rotation,Step,Delay,
0,0,1,750,
0,1,1,750,
0,2,1,750,
0,3,1,750,
0,4,1,750,
1,0,1,600,
1,1,1,600,
1,2,1,600,
1,3,1,600,
1,4,1,600,
3,1,1,800,
3,5,1,800,
4,1,1,400,
4,1,2,200,
4,1,3,600,
4,5,1,400,
4,5,2,200,
4,5,3,600,
5,1,1,400,
5,1,2,300,
5,1,3,225,
5,1,4,625,
5,5,1,400,
5,5,2,300,
5,5,3,225,
5,5,4,625,
9,1,1,900,
9,5,1,900,
10,1,1,700,
10,5,1,700,
11,1,1,900,
11,5,1,900,
12,1,1,250,
12,5,1,250,
13,1,1,875,
13,5,1,750,
14,0,1,200,
14,1,1,200,
14,2,1,200,
14,3,1,200,
14,4,1,200,
14,5,1,200,
15,0,1,100,
15,1,1,100,
15,2,1,100,
15,3,1,100,
15,4,1,100,
15,5,1,100,
16,0,1,500,
16,1,1,500,
16,2,1,500,
16,3,1,500,
16,4,1,500,
16,5,1,500,
17,0,1,750,
17,1,1,750,
17,2,1,750,
17,3,1,750,
17,4,1,750,
