State,Rotation,Step,Delay,
0,0,1,875,
0,1,1,875,
0,2,1,875,
0,3,1,875,
0,4,1,875,
1,0,1,600,
1,1,1,600,
1,2,1,600,
1,3,1,600,
1,4,1,600,
3,1,1,800,
3,5,1,800,
4,1,1,400,
4,1,2,500,
4,1,3,300,
4,5,1,400,
4,5,2,500,
4,5,3,300,
5,1,1,800,
5,1,2,325,
5,1,3,350,
5,5,1,1475,
9,1,1,800,
9,5,1,800,
10,1,1,1000,
10,5,1,1000,
11,1,1,950,
11,5,1,950,
12,1,1,250,
12,5,1,250,
13,1,1,1000,
13,5,1,750,
14,0,1,200,
14,1,1,200,
14,2,1,200,
14,3,1,200,
14,4,1,200,
14,5,1,200,
15,0,1,100,
15,1,1,100,
15,2,1,100,
15,3,1,100,
15,4,1,100,
15,5,1,100,
16,0,1,500,
16,1,1,500,
16,2,1,500,
16,3,1,500,
16,4,1,500,
16,5,1,500,
17,0,1,875,
17,1,1,875,
17,2,1,875,
17,3,1,875,
17,4,1,875,
