State,Rotation,Step,Delay,
0,0,1,600,
0,1,1,600,
0,2,1,600,
0,3,1,600,
0,4,1,600,
1,0,1,100,
1,0,2,300,
1,0,3,200,
1,1,1,100,
1,1,2,300,
1,1,3,200,
1,2,1,100,
1,2,2,300,
1,2,3,200,
1,3,1,100,
1,3,2,300,
1,3,3,200,
1,4,1,100,
1,4,2,300,
1,4,3,200,
3,1,1,800,
3,5,1,800,
4,1,1,400,
4,1,2,400,
4,5,1,400,
4,5,2,400,
5,1,1,100,
5,1,2,500,
5,1,3,600,
5,5,1,100,
5,5,2,500,
5,5,3,600,
9,1,1,800,
9,5,1,800,
10,1,1,600,
10,5,1,600,
11,1,1,800,
11,5,1,800,
12,1,1,100,
12,5,1,100,
13,1,1,600,
13,5,1,600,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,400,
16,5,1,400,
17,0,1,600,
17,1,1,600,
17,2,1,600,
17,3,1,600,
17,4,1,600,
