State,Rotation,Step,Delay,
0,0,1,750,
0,1,1,750,
0,2,1,750,
0,3,1,750,
0,4,1,750,
1,0,1,600,
1,1,1,600,
1,2,1,600,
1,3,1,600,
1,4,1,600,
3,1,1,800,
3,5,1,800,
4,1,1,300,
4,1,2,400,
4,1,3,575,
4,5,1,300,
4,5,2,400,
4,5,3,575,
5,1,1,675,
5,1,2,875,
5,5,1,675,
5,5,2,875,
9,1,1,800,
9,5,1,800,
10,1,1,750,
10,5,1,750,
11,1,1,875,
11,5,1,875,
12,1,1,250,
12,5,1,250,
13,1,1,750,
13,5,1,750,
14,0,1,200,
14,1,1,200,
14,2,1,200,
14,3,1,200,
14,4,1,200,
14,5,1,200,
15,0,1,100,
15,1,1,100,
15,2,1,100,
15,3,1,100,
15,4,1,100,
15,5,1,100,
16,0,1,400,
16,1,1,400,
16,2,1,400,
16,3,1,400,
16,4,1,400,
16,5,1,400,
17,0,1,750,
17,1,1,750,
17,2,1,750,
17,3,1,750,
17,4,1,750,
