State,Rotation,Step,Delay,
1,0,1,105,
1,0,2,315,
1,0,3,210,
1,1,1,105,
1,1,2,315,
1,1,3,210,
1,2,1,105,
1,2,2,315,
1,2,3,210,
1,3,1,105,
1,3,2,315,
1,3,3,210,
1,4,1,105,
1,4,2,315,
1,4,3,210,
3,1,1,960,
3,5,1,960,
4,1,1,600,
4,1,2,200,
4,5,1,600,
4,5,2,200,
5,1,1,600,
5,1,2,600,
5,5,1,600,
5,5,2,600,
9,1,1,960,
9,5,1,960,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,150,
12,5,1,150,
13,1,1,420,
13,1,2,420,
13,5,1,420,
13,5,2,420,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,320,
16,5,1,320,
