State,Rotation,Step,Delay,
0,0,1,900,
0,1,1,900,
0,2,1,900,
0,3,1,900,
0,4,1,900,
1,0,1,110,
1,0,2,330,
1,0,3,220,
1,1,1,110,
1,1,2,330,
1,1,3,220,
1,2,1,110,
1,2,2,330,
1,2,3,220,
1,3,1,110,
1,3,2,330,
1,3,3,220,
1,4,1,110,
1,4,2,330,
1,4,3,220,
3,1,1,800,
3,5,1,800,
4,1,1,270,
4,1,2,450,
4,5,1,270,
4,5,2,450,
5,1,1,540,
5,1,2,360,
5,5,1,540,
5,5,2,360,
9,1,1,400,
9,1,2,400,
9,5,1,400,
9,5,2,400,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,150,
12,5,1,150,
13,1,1,600,
13,5,1,600,
14,1,1,200,
14,5,1,200,
15,1,1,100,
15,5,1,100,
16,1,1,320,
16,5,1,320,
17,0,1,900,
17,1,1,900,
17,2,1,900,
17,3,1,900,
17,4,1,900,
