State,Rotation,Step,Delay,
0,0,1,1020,
0,1,1,1020,
0,2,1,1020,
0,3,1,1020,
0,4,1,1020,
0,5,1,1020,
0,6,1,1020,
0,7,1,1020,
1,0,1,660,
1,1,1,660,
1,2,1,660,
1,3,1,660,
1,4,1,660,
1,5,1,660,
1,6,1,660,
1,7,1,660,
3,1,1,960,
3,5,1,960,
4,1,1,600,
4,1,2,200,
4,5,1,600,
4,5,2,200,
5,1,1,600,
5,1,2,600,
5,5,1,600,
5,5,2,600,
9,1,1,960,
9,5,1,960,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,450,
12,5,1,450,
13,1,1,420,
13,1,2,420,
13,5,1,420,
13,5,2,420,
17,0,1,900,
17,1,1,900,
17,2,1,900,
17,3,1,900,
17,4,1,900,
17,5,1,900,
17,6,1,900,
17,7,1,900,
