State,Rotation,Step,Delay,
1,0,1,65,
1,0,2,195,
1,0,3,195,
1,0,4,195,
1,0,5,130,
1,1,1,65,
1,1,2,195,
1,1,3,195,
1,1,4,195,
1,1,5,130,
1,2,1,65,
1,2,2,195,
1,2,3,195,
1,2,4,195,
1,2,5,130,
1,3,1,65,
1,3,2,195,
1,3,3,195,
1,3,4,195,
1,3,5,130,
1,4,1,65,
1,4,2,195,
1,4,3,195,
1,4,4,195,
1,4,5,130,
3,1,1,1920,
3,5,1,1920,
4,1,1,600,
4,1,2,200,
4,5,1,600,
4,5,2,200,
5,1,1,600,
5,1,2,600,
5,5,1,600,
5,5,2,600,
9,1,1,960,
9,5,1,960,
10,1,1,540,
10,5,1,540,
11,1,1,1040,
11,5,1,1040,
12,1,1,450,
12,5,1,450,
13,1,1,420,
13,1,2,420,
13,5,1,420,
13,5,2,420,
