State,Rotation,Step,Delay,
0,0,1,750,
0,1,1,750,
0,2,1,750,
0,3,1,750,
0,4,1,750,
1,0,1,600,
1,1,1,600,
1,2,1,600,
1,3,1,600,
1,4,1,600,
3,1,1,800,
3,5,1,800,
4,1,1,300,
4,1,2,200,
4,1,3,750,
4,5,1,300,
4,5,2,200,
4,5,3,750,
5,1,1,480,
5,1,2,240,
5,1,3,240,
5,1,4,240,
5,1,5,840,
5,5,1,480,
5,5,2,240,
5,5,3,240,
5,5,4,240,
5,5,5,840,
9,1,1,1140,
9,5,1,1140,
10,1,1,750,
10,5,1,750,
11,1,1,1200,
11,5,1,1200,
12,1,1,250,
12,5,1,250,
13,1,1,720,
13,5,1,720,
14,0,1,200,
14,1,1,200,
14,2,1,200,
14,3,1,200,
14,4,1,200,
14,5,1,200,
15,0,1,100,
15,1,1,100,
15,2,1,100,
15,3,1,100,
15,4,1,100,
15,5,1,100,
16,0,1,500,
16,1,1,500,
16,2,1,500,
16,3,1,500,
16,4,1,500,
16,5,1,500,
17,0,1,750,
17,1,1,750,
17,2,1,750,
17,3,1,750,
17,4,1,750,
